Food Name and Description,Protein,Total Fat,Carbohydrates
Fish paste ginamos,23.4,1.8,0
Fish paste siganid fry,9.6,1.7,0
Fish sauce,10.6,0.3,0.9
Lechon sauce,1.2,0.3,27.6
Lemon grass lvs,1.4,1.4,23.1
Lemon grass lvs boiled,0.3,0.3,13.2
Banana flowers dried,9.6,1.3,69.6
Oyster paste,3.7,1.8,5.8
Safflower flowers dried,16.2,4.3,59
Salt coarse,0,0,0
Shrimp paste,12.5,1.9,0.1
Shrimp paste alamang,12.4,1,0.6
Shrimp paste bastos,12,0.8,0.4
Soy sauce,3.5,0.1,15
Tomato paste,4.3,0.1,23.4
Tomato sauce,0.9,0.2,10
Vinegar coconut,0,0.1,1.4
Vinegar palm,0.2,0,2.6
Vinegar pineapple,0.1,0.1,1.3
Worcestershire sauce,0.7,0.3,6.3
Shrimp paste sauteed,10.2,32.1,17.7
Beer lager type,0.3,0,3.6
Palm sap fermented,0.2,0.3,7.9
Rum,0,0,0.2
Sugarcane fermented,0,0.1,5
Wine Chinese,0,0,7.4
Ceylon moss/Agar-agar in light syrup,0,2.5,8.3
Choc-flvr drink prep,1.5,0.3,17.7
Choc-flvr drink pwdr,5.7,3.6,84.8
Choc-flvr drink UHT,3,2.1,11.8
Choc-flvr energy drnk granules fortified,11,6.6,75.7
Choc-flvr energy drnk pwdr fortified,13.8,11.6,68
Choc-flvr food milk pwdr,21.7,5,66.7
Cocoa pwdr imported,20,21.1,51
Cocoa pwdr local,21.7,19.8,49.9
Coconut water,0,0.2,5.1
Coffee creamer & sugar (3 in 1),3.6,0.8,92.5
Coffee inst 100% pure,21.6,0.1,60.3
Coffee roasted,15.2,7.1,70.4
Coffee soybean w/ seed coat,39,17.1,32.9
Coffee soybean w/o seed coat,39.5,23,31.8
Fruit jce drnk conc calamansi,0.2,0.6,58.3
Fruit jce drnk conc grape,0.2,0.4,63.2
Fruit jce drnk conc grapefruit,0,1.3,54.6
Fruit jce drnk conc guyabano,0.3,0.3,26.3
Fruit jce drnk conc mango,0.2,0.2,18.2
Fruit jce drnk conc orange,0,0.7,59.5
Fruit jce drnk apple ttb,0.1,0.2,12
Fruit jce drnk citrus cooler ttb,0.1,0.2,11.2
Fruit jce drnk grape ttpk,0.2,0.1,10.8
Fruit jce drnk guava ttpk,0.1,0.3,10.7
Fruit jce drnk guyabano btl,0.1,1,16.3
Fruit jce drnk mango btl,0.2,0.2,13.7
Fruit jce drnk mango polyfoil,0.1,0.2,11.6
Fruit jce drnk mango ttb,0.1,0.2,11.8
Fruit jce drnk orange & pineapple ttb,0.1,0.2,11.2
Fruit jce drnk orange btl,0.2,0.2,10.1
Fruit jce drnk orange polyfoil,0.1,0.2,11.8
Fruit jce drnk orange ttb,0.1,0.2,10.9
Fruit jce drnk pineapple & lychee ttb,0.2,0.5,11.3
Fruit jce drnk pineapple & orange cnd,0.1,0.1,11.6
Fruit jce drnk pineapple ttb,0.2,0.3,10.6
Fruit jce drnk strawberry polyfoil,0,0.2,12
Fruit jce drnk sugarcane ttb,0.2,0.1,12.2
Fruit-flvr drnk conc orange,0.2,0.5,58
Fruit-flvr drnk conc strawberry,0.1,0.7,66.4
Fruit-flvr drnk pwdr orange,0,2.2,96.8
Juice apple cnd,0.1,0.2,15.7
Juice calamansi (nectar),0.1,0.4,36.4
Juice mango,0.4,0.7,12.1
Juice orange unsweetn cnd,0.7,0.3,10.2
Juice pineapple & grapefruit cnd,1.2,0.5,13.4
Juice pineapple cnd,0,0.1,15.3
Juice sugarcane,0.1,0.2,11.9
Juice tomato cnd,0.8,0.2,4.9
Lemon tea drink ttb,0,0.3,12
Sago in light syrup,0,1.2,15.5
Softdrink cola,0,0.1,9.9
Softdrink orange flvr,0,0,11.6
Soy drink pwdr plain,21.8,13.7,59.6
Soy drnk pwdr corn flvr,19.4,13.6,62
Soy drnk pwdr pandan flvr,18.3,6.5,70.6
Soybean milk drink choc-flvr,2.2,0.3,16.1
Soybean milk drnk,2.6,0.8,8.3
Tea lvs dried,21.7,1,65.3
Young coconut (shredded) drnk,0.2,0.2,9
Cheese pimiento sandwich,9.6,8,39.3
Cheese sandwich,11.2,6.2,50.3
Cheeseburger sandwich,11.2,9.5,30
Steamed bun mung bean filling,6.7,2.9,56.4
Steamed bun pork filling,9.2,11.2,39
Glutinous rice w/ mung bean & cocomilk,1.8,3,24
Hamburger sandwich w/ coleslaw,12.1,8.4,30.5
Hamburger sandwich reg,14,9.9,30.1
Meat pie,11.9,24.8,41.1
Meat roll,10.4,10.4,44.4
Rice gruel w/ chicken,2,0.4,12.8
Rice gruel w/ choc & milk,1.7,0.2,22
Rice gruel w/ tripe,2,1.3,8.3
Spaghetti meat balls & tomato sce cnd,4.8,1,13.8
Spaghetti Vienna sausage & tomato sce cnd,2.9,1.7,14.8
Buko pie,4.4,7.2,45.9
Egg pie,9.6,3.5,40
Halu-halo cnd,2.3,0.3,57.4
Halu-halo w/ ice,1,0.3,18.7
Pineapple pie,1.1,0.3,67.9
Pizza pie,10.3,5.8,44.4
Milk fish w/ black beans cnd,18.6,18.7,0
Spring roll crab unckd,5.8,2.6,40.1
Spring roll fish unckd,5.9,0.2,40
Spring roll shrimp unckd,6.3,0.2,43.2
Beef & tomato spread cnd,9.8,11.7,12.1
Beef caldereta cnd,13.3,24.9,1.6
Beef callos cnd,9.6,7.3,9.9
Beef curry cnd,9.5,11.2,6.6
Beef hamburger w/ tomato sce cnd,9.4,4.6,16.5
Beef kare-kare cnd,9,1.1,4.4
Beef roll mechado cnd,11.6,8.7,3.8
Beef roll morcon cnd,13.9,8,14.9
Beef steak cnd,9.6,11.8,4
Beef stew cnd,9.5,11.4,7.1
Beef w/ gravy cnd,12.1,5.8,0
Beef w/ mushroom sce cnd,13.3,3.7,4
Beef w/chickpeas cnd,6.3,3,10.6
Beef chili con carne cnd,7.5,1.8,11.9
Chicken stew cnd,3.6,2.7,8.3
Corned beef hash cnd,8.4,3.1,10.7
Duck meat pato tim cnd,11,8.7,2.8
Meat ball & quail egg sw & sr sce cnd,9.8,13.1,12.4
Pork & chicken adobo cnd,14.5,14.6,0
Pork adobo cnd,10.3,24.8,3.1
Pork adobo w/ egg cnd,13.4,20.2,6.3
Pork afritada cnd,6.3,8.1,6.3
Pork blood stew cnd,14.8,10.6,0
Pork humba cnd,7.1,4.7,14
Pork leg w/ mushroom sce cnd,7.7,19.7,15.7
Pork leg mushroom & chestnut cnd,12,19.6,0.8
Pork leg pinaksiw cnd,13.1,12.1,6.6
Pork pastel cnd,8.8,10.4,4.6
Pork w/ black beans cnd,11.2,16.2,6.1
Pork roasted pinaksiw cnd,12.8,15.2,6.4
Roast beef hash cnd,15,12,8.2
Spring roll beef unckd,7.6,1.2,40.3
Spring roll chicken unckd,5.7,4.8,39.6
Spring roll Shanghai unckd,5.8,10,38.3
Chicken noodle broth inst,1.7,1.8,9.5
Soup beans w/ bacon cond cnd,2.6,0.6,8.6
Soup beef & veg cnd,3.3,2.7,5.7
Soup bird's nest (nido) cond cnd,1.3,2.1,5.3
Soup chicken & asparagus cnd,2.1,0.6,1.5
Soup chicken & veg cnd,1.2,0.3,6.3
Soup chicken & veg cond cnd,2,3.4,5.4
Soup chicken noodle cnd,2.6,1.6,6
Soup corn potage cond cnd,3.5,0.4,18.7
Soup cream of asparagus cond cnd,1.8,4.2,8.5
Soup cream of chicken cond cnd,2.5,2,8.4
Soup cream of mushroom cnd,1.7,6.7,8.7
Soup mungbean w/ shrimp ckd,3.1,0.5,8.3
Soup noodles & beef cond cnd,1.9,2.3,6.7
Soup pansit molo cond cnd,2.4,2.4,5.6
Soup sotanghon cond,0.8,1.4,2.8
Soup turkey noodle cnd,2.4,0.4,7.3
Soup veg alphabet cnd,2,1.4,12
Soup veg cond cnd,1.1,0.4,4.2
Soup vermicelli & chicken cond cnd,1.3,1.2,5.5
Pork & beans cnd,4.7,1.8,17.6
Hotcake prep w/ MLP,5.3,7.1,39.3
Polvoron prep w/ MLP,9.2,23.4,62.3
Gelatin drink w/ MLP,0.9,0.8,13
Ice candy prep w/ MLP,1.4,1.1,20.1
Yacon shake prep,0.2,0.2,18.7
Carbonara prep w/ MLP,5.5,6.4,17.2
Fruit salad prep w/ yacon,0.4,0.3,14.3
Macaroni salad prep w/ yacon,3.4,14.9,10.7
Waldorf salad prep w/ yacon,1.8,11.8,16
Anchovy fry omelet prep w/ MLP,13.1,12.8,4.5
Red snapper fritata prep w/ MLP,15.3,19.5,5.7
Chopsuey prep w/ yacon,2.7,2.8,8.5
Wonton soup prep w/ MLP,5,5.3,6.3
Pork wonton prep w/ MLP,13.3,10.2,18
Scrambled egg prep w/ MLP,10,16.5,4.6
Shanghai pork roll prep w/ yacon,10.3,15.5,26
Fried rice mix w/ yacon,3,4,23.1
Vegetable stir-fry w/ quail eggs prep w/ yacon,4.2,6,8.6
Vegetable soup prep w/ yacon,1.6,0.8,5.1
Vegetable spring roll fresh w/ yacon,3.8,4.2,23.6
Pork ball wrapped,10.5,16.7,26.4
Beef w/ veg str,3.8,0.3,7.5
Beef egg noodle veg str,2.8,0.1,7.3
Carrot str,0.6,0.1,4.8
Cereals applesce & banana str,1,0.8,18.2
Chicken noodle str,2.6,0.4,8.9
Chicken w/ veg str,8.8,5.4,6.9
Chicken asparagus str,7.9,0.8,0
Cream chicken soup str,1.8,0.5,9
Custard pudding choco str,1.4,0.8,18.6
Custard pudding vanilla str,1.3,1.1,19.7
Fruit w/ tapioca str,0.2,1,20.4
Mango & papaya str,0.2,0.3,21.8
Mango str,0.2,1.2,18.8
Mixed fruits str,0.2,0.9,20.3
Mixed veg str,1.4,0.2,8.7
Peach str,0.6,0.3,26.6
Rice w/ chicken str,1.6,0.6,8.6
Squash str,0.4,0.1,7.5
Veg liver & bacon str,2.1,0.9,7.6
Azolla pinnata,1.4,0.4,2.1
Baking powder,0.2,0.3,40.7
Ceylon moss/Agar-agar bar,2.6,0.3,74.5
Coffee creamer non-dairy,4.1,0.7,91.9
Chlorella,53.3,4.9,23.4
Gelatin powder,85.4,1,0
Rice washing,0.1,0.2,1
Yeast baker's active dry,37.2,1.3,50.5
Coconut meat grated sweetn,2.2,2.1,92.8
Ginger,1.1,0.8,8.5
Turmeric,2,2.7,9.6
Egg mass sea hare,2.4,0.2,1.3
Tea prep w/ water no sugar,0.1,0,0.2
Locust,13.7,4.3,13.4
