Food Name and Description,Protein,Total Fat,Carbohydrates
Bottle gourd lvs boiled,1.7,0.3,3.2
Breadfruit fruit,2.4,0.5,12.8
Breadnut fruit,2.5,1.1,8.7
Breadnut seed,3.4,1.2,11.9
Bulak-bulakan pod,1.6,0.9,13.4
Busi-busi lvs,3.1,2,6
Cabbage green,1.6,0.1,5.9
Cabbage green boiled,0.6,0.1,5
Cabbage red,1.6,0.2,6
Cabbage red boiled,0.9,0.2,5.6
Carrot,1.1,0.3,8.6
Carrot boiled,1.1,0.4,8.6
Cashew young lvs,4.9,0.6,22
Cashew young lvs boiled,2.4,0.4,10.9
Cassava lvs,7.1,1.4,10.5
Cassava lvs boiled,3.4,0.7,5.7
Cauliflower,2.1,0.3,5.2
Cauliflower boiled,1.5,0.2,4.8
Celery lvs & petioles,1.2,0,5.1
Celery Chinese lvs & petioles,2.4,0.6,5.4
Celery Chinese lvs & petioles boiled,1.4,0.1,5
Chayote fruit,0.5,0.1,5.1
Chayote fruit boiled,0.3,0.1,3.5
Chayote lvs,4.6,0.3,5.7
Chayote lvs boiled,2.5,0.2,2.3
Chinese cabbage,1.7,0.3,2.9
Chinese cabbage boiled,1,0.1,2.4
Coconut cotyledon,1.7,1.8,11.1
Coconut heart of palm,4.3,0.8,5.7
Fragrant manjack lvs,4.6,0.3,9.9
Coriander lvs,3,0.6,4.8
Cowpea lvs,4.9,1.4,4.3
Cowpea lvs boiled,1.9,0.4,4.6
Cowpea pod,3.4,0.4,8.5
Cowpea pod boiled,2.8,0.4,9.4
Cowpea seed fresh,5.1,0.1,16.1
Crown daisy lvs,2.3,0.4,2.6
Kutcharitas lvs green,2.6,0.8,9.2
Kutcharitas lvs red,2.3,0.6,17.4
Cucumber,0.5,0.1,3.2
East Indian lotus fruit,4.1,1.1,13.5
East Indian lotus lvs,4.7,0.8,5
East Indian lotus lvs boiled,2.9,0.4,3.1
Eggplant,1.2,0.2,5.5
Eggplant boiled,1,0.1,4.9
Endive lvs,1.6,0.2,5.3
Flowering fern lvs,3,0.6,12.6
Foetid cassia lvs,4.4,1,15.3
Fragrant premna lvs,5.4,1.1,17
Fragrant premna lvs boiled,1.1,0.3,11.4
Galo fruit whole,3.9,1.8,33.4
Galo pulp boiled,3,0.4,16.2
Galo seed boiled,5.1,3.7,40.3
Garlic bulb,7,0.3,24.6
Garlic lvs,2,0.6,9.2
Garlic lvs boiled,1.1,0.6,8.8
Garlic lvs & bulb,2.6,0.6,15.8
Glynus lvs,3.7,0.8,4.2
Guava lvs,4.5,2.4,22.9
Himbaba-o flower,6.3,1.1,8.1
Himbaba-o flower boiled,2.9,0.9,8.1
Himbaba-o lvs,5.8,1.4,12.6
Himbaba-o lvs boiled,1.6,0.5,9.6
Horseradish tree lvs,9.7,2,12.7
Horseradish tree lvs boiled,3.1,0.9,10.6
Horseradish tree lvs dwarf,9,3.1,6.2
Horseradish tree lvs dwarf boiled,3,1,6.8
Horseradish tree lvs Japanese,6.2,1.6,5.2
Horseradish tree lvs Japanese boiled,2.4,1.1,5.5
Horseradish tree pod,2.5,0.4,19.9
Horseradish tree pod boiled,1.1,0.2,4.6
Hyacinth bean pod,2.5,0.4,7.8
Hyacinth bean pod boiled,1.3,0.1,6.9
Jackfruit fruit unripe,2,0.6,11.1
Jackfruit seed,5.5,0.5,34.4
Jackfruit seed boiled,4.5,0.3,33.7
Jute lvs,6.1,1.1,9.1
Jute lvs boiled,2.9,0.6,6.8
Lagikway lvs,4,1.2,6.8
Lagikway lvs boiled,1.3,0.4,5.3
Chinese leek lvs,2.4,0.7,4.6
Chinese leek lvs boiled,1.3,0.4,2.6
